WKT,id,appellation,affected_surveys,parcel_intent,topology_type,statutory_actions,land_district,titles,survey_area,calc_area
"POLYGON ((174.7490809667 -36.8496145,174.7491714333 -36.84964445,174.7492607167 -36.8495751667,174.7493390333 -36.8496403833,174.7493386333 -36.84964065,174.7492574 -36.8497036667,174.74917625 -36.8497666333,174.7490951167 -36.8498295833,174.7490176833 -36.8498897,174.7489330167 -36.8499554,174.7488531667 -36.8500173667,174.7487719333 -36.8500802667,174.7487128167 -36.8501260667,174.7486955 -36.8500135833,174.74905855 -36.8497320167,174.7490245 -36.8496582833,174.7490809667 -36.8496145))",5213907,,,Road,Primary,,North Auckland,,,826
"POLYGON ((174.7487343333 -36.8502643833,174.7485662 -36.8502892,174.7485489333 -36.85017835,174.7487128167 -36.8501260667,174.7487343333 -36.8502643833))",5214468,,,Road,Primary,,North Auckland,,,212
"POLYGON ((174.7486955 -36.8500135833,174.7487128167 -36.8501260667,174.7485489333 -36.85017835,174.7485333333 -36.8500779167,174.7486955 -36.8500135833))",5242341,,,Road,Primary,,North Auckland,,,181
"POLYGON ((174.7493462 -36.8504318833,174.7492648 -36.8504946667,174.7491835 -36.8505574833,174.749101 -36.8506211833,174.7490184667 -36.8506848833,174.7489371833 -36.85074785,174.7488226667 -36.850836,174.74879635 -36.8506658,174.7490658833 -36.85045775,174.7491472167 -36.8503949333,174.7492285833 -36.85033215,174.7493095833 -36.8502697167,174.7493906667 -36.8502071833,174.7494729833 -36.8501435167,174.7495519333 -36.8500825667,174.7496335167 -36.8500197167,174.74971465 -36.8499573,174.7497966167 -36.8498940167,174.7498776833 -36.8498315167,174.74995905 -36.8497687,174.7500422333 -36.84970445,174.7501221833 -36.8496426167,174.75024145 -36.8497410667,174.7501656 -36.84979965,174.7501591333 -36.8498046667,174.75007755 -36.8498676167,174.7499958833 -36.8499305667,174.7499149667 -36.8499930167,174.74991485 -36.8499931,174.74983245 -36.8500567,174.7497521333 -36.8501188167,174.74967095 -36.8501814333,174.7495898333 -36.850244,174.7495086333 -36.8503066167,174.7494273667 -36.8503692667,174.7493462 -36.8504318833))",5236155,,,Road,Primary,,North Auckland,,,2587
"POLYGON ((174.7487623667 -36.8504451833,174.74879635 -36.8506658,174.7486327333 -36.8507167333,174.7486150833 -36.8506047167,174.7486007667 -36.85051385,174.7485880667 -36.85043105,174.7487493667 -36.8503605333,174.7487623667 -36.8504451833))",5221711,,,Road,Primary,,North Auckland,,,503
"POLYGON ((174.7487493667 -36.8503605333,174.7485880667 -36.85043105,174.7485662 -36.8502892,174.7487343333 -36.8502643833,174.7487493667 -36.8503605333))",5244517,,,Road,Primary,,North Auckland,,,203
"POLYGON ((174.74809105 -36.8505355,174.7479565 -36.8505777833,174.7479095833 -36.8504956,174.7482392167 -36.8503917833,174.7483418667 -36.8503595667,174.7484320333 -36.8503312833,174.7485662 -36.8502892,174.7485880667 -36.85043105,174.7485231333 -36.8503998333,174.7482296833 -36.8504919667,174.74809105 -36.8505355))",5221708,,,Road,Primary,,North Auckland,,,630
"POLYGON ((174.7477590333 -36.8505249333,174.7479095833 -36.8504956,174.7479565 -36.8505777833,174.7479231 -36.8505883,174.74776855 -36.8506368667,174.7477590333 -36.8505249333))",5245610,,,Road,Primary,,North Auckland,,,175
"POLYGON ((174.7477425667 -36.8501422833,174.74770175 -36.8501458667,174.7476857333 -36.8500399667,174.74784365 -36.8500571333,174.7478533167 -36.8501211833,174.7478575 -36.8501479667,174.7478718167 -36.8502435333,174.74788775 -36.8503489833,174.7478918667 -36.8503753333,174.7479095833 -36.8504956,174.7477590333 -36.8505249333,174.7477404667 -36.8504021167,174.7477811 -36.8503975833,174.7477618167 -36.8502699167,174.7477425667 -36.8501422833))",5221707,,,Road,Primary,,North Auckland,,,605
"POLYGON ((174.7462354 -36.8500535667,174.7462629167 -36.85014225,174.7461649 -36.8501908167,174.746128 -36.8500830167,174.7462354 -36.8500535667))",5249351,,,Road,Primary,,North Auckland,,,112
"POLYGON ((174.7463526 -36.8503970833,174.7463674833 -36.8504384333,174.74639985 -36.8505278667,174.7464395 -36.8506372167,174.7464438667 -36.8506493833,174.7464760167 -36.8507394833,174.7465285167 -36.8508876833,174.7464336833 -36.8509507833,174.7463865667 -36.8508175667,174.7463271833 -36.85064965,174.74627395 -36.8504991,174.7462295667 -36.8503741333,174.7462194833 -36.8503458833,174.7461649 -36.8501908167,174.7462629167 -36.85014225,174.7463526 -36.8503970833))",5238230,,,Road,Primary,,North Auckland,,,864
"POLYGON ((174.7465614667 -36.85090085,174.7471681833 -36.8507104333,174.7471756167 -36.8507258167,174.74727555 -36.8506943833,174.7473857 -36.8506599,174.7474922333 -36.8506264833,174.74759685 -36.8505936833,174.7476921833 -36.8505636333,174.7476874167 -36.8505474,174.7477590333 -36.8505249333,174.74776855 -36.8506368667,174.7476871167 -36.8506606333,174.74755625 -36.8507035167,174.7474485667 -36.8507373167,174.7473343333 -36.8507731833,174.7471774833 -36.8508224333,174.7469864667 -36.8508823667,174.7469923333 -36.8508982667,174.74660275 -36.8510204833,174.7465850167 -36.85104965,174.7465285167 -36.8508876833,174.7465614667 -36.85090085))",5221114,,,Road,Primary,,North Auckland,,,1361
"POLYGON ((174.74879635 -36.8506658,174.7488226667 -36.850836,174.7486696667 -36.8509391167,174.7486521333 -36.85084,174.7486327333 -36.8507167333,174.74879635 -36.8506658))",5257539,,,Road,Primary,,North Auckland,,,333
"POLYGON ((174.7487026833 -36.85115175,174.7486876833 -36.85105535,174.7486696667 -36.8509391167,174.7488226667 -36.850836,174.7488579333 -36.8510656167,174.7488921 -36.8512879833,174.7487417167 -36.85143005,174.7487026833 -36.85115175))",5219772,,,Road,Primary,,North Auckland,,,789
